epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,338.09,2.4084,4.50291,2.40256,0.00311,0.78054,0.08429,0.0219,2.25926,4.82464,2.13874,0.000545182,0.000545182,0.000545182
2,1045.77,2.10436,3.69955,2.13209,0.00947,0.23586,0.00398,0.00102,2.75601,169.842,7.15188,0.00108995,0.00108995,0.00108995
3,1452.43,2.11713,3.39224,2.18205,0.05654,0.04864,0.01564,0.00446,3.22722,4.47611,3.80805,0.00162372,0.00162372,0.00162372
4,1850.84,2.12109,3.11859,2.19721,0.04006,0.02885,0.01566,0.0042,3.08826,5.39599,3.71809,0.00161749,0.00161749,0.00161749
5,2094.74,2.08723,2.85182,2.17351,0.19941,0.2562,0.12792,0.04523,2.35287,4.12977,2.38735,0.00160099,0.00160099,0.00160099
6,2335.17,2.06934,2.68064,2.19195,0.28073,0.2319,0.20686,0.08303,2.27415,2.99547,2.48459,0.00158448,0.00158448,0.00158448
7,2575.71,2.00232,2.61105,2.12716,0.29648,0.3327,0.24479,0.09412,2.17806,2.9165,2.378,0.00156798,0.00156798,0.00156798
8,2826.44,1.96985,2.43738,2.0855,0.40673,0.36482,0.28594,0.10073,2.30822,2.66944,2.33219,0.00155148,0.00155148,0.00155148
9,3069.37,1.92533,2.37064,2.03973,0.36825,0.33296,0.25603,0.09507,2.19192,2.57674,2.15973,0.00153497,0.00153497,0.00153497
10,3316.26,1.9638,2.26202,2.0709,0.43678,0.39649,0.35388,0.15259,2.12626,2.50193,2.31325,0.00151847,0.00151847,0.00151847
11,3556.84,1.93545,2.24942,2.06013,0.42709,0.48997,0.39311,0.13558,2.26732,2.30973,2.52362,0.00150197,0.00150197,0.00150197
12,3801.6,1.88787,2.10387,2.03302,0.32458,0.37161,0.34848,0.14044,2.14077,2.49385,2.2954,0.00148546,0.00148546,0.00148546
13,4045.36,1.85444,2.09363,2.02511,0.41004,0.40102,0.41186,0.16724,1.90513,2.52339,2.13772,0.00146896,0.00146896,0.00146896
14,4292.71,1.82901,2.03464,1.99308,0.43727,0.45984,0.44417,0.17484,2.03134,1.97562,2.20224,0.00145246,0.00145246,0.00145246
15,4540.54,1.81437,1.99349,2.00104,0.51808,0.54238,0.49806,0.20887,1.96874,1.83056,2.16177,0.00143595,0.00143595,0.00143595
16,4787.53,1.84531,2.01513,1.98182,0.52811,0.46041,0.44943,0.20772,2.02321,1.9767,2.20137,0.00141945,0.00141945,0.00141945
17,5030.91,1.77705,1.91008,1.89758,0.47651,0.47907,0.42745,0.16583,2.11372,1.97936,2.22686,0.00140295,0.00140295,0.00140295
